uuid,annotator_id,human_fluency_rating,human_utility_rating,op,query_id,t2v_precision,t2v_coverage,timestamp,precise_citations,is_covered
72,fSHVkyHSnBk9wvF,3,1,Paraphrased,64,,,2024-09-18 00:23:02.651058+00,,
73,JnWOZNB21QHPObQ,3,3,Gemini,74,,,2024-09-18 00:23:09.128678+00,,
74,DO1DhOd0kwIHrgb,2,1,Snippet,87,,,2024-09-18 00:23:14.617195+00,,
75,JnWOZNB21QHPObQ,3,3,Post Hoc,75,,,2024-09-18 00:23:16.871075+00,,
76,6BBinbmBretqjJt,3,2,Paraphrased,83,,,2024-09-18 00:23:21.158641+00,,
77,6gbJojnMbJMuo9Z,3,3,Quoted,68,,,2024-09-18 00:23:22.035035+00,,
78,DO1DhOd0kwIHrgb,3,3,Gemini,88,,,2024-09-18 00:23:24.036634+00,,
79,6BBinbmBretqjJt,3,3,Post Hoc,84,,,2024-09-18 00:23:28.989514+00,,
80,fSHVkyHSnBk9wvF,3,3,Post Hoc,66,,,2024-09-18 00:23:32.550634+00,,
81,fSHVkyHSnBk9wvF,3,3,Quoted,67,,,2024-09-18 00:23:49.717557+00,,
82,6BBinbmBretqjJt,3,3,Abstractive,85,,,2024-09-18 00:23:52.965009+00,,
83,JnWOZNB21QHPObQ,3,3,Post Hoc,76,,,2024-09-18 00:23:53.596734+00,,
84,6gbJojnMbJMuo9Z,3,3,Abstractive,69,,,2024-09-18 00:24:08.844248+00,,
85,DO1DhOd0kwIHrgb,2,1,Snippet,89,,,2024-09-18 00:24:09.613824+00,,
86,6BBinbmBretqjJt,1,2,Snippet,86,,,2024-09-18 00:24:09.828948+00,,
87,DO1DhOd0kwIHrgb,3,3,Entailed,90,,,2024-09-18 00:24:14.408518+00,,
88,DO1DhOd0kwIHrgb,3,3,Gemini,91,,,2024-09-18 00:24:21.302477+00,,
89,JnWOZNB21QHPObQ,3,1,Snippet,77,,,2024-09-18 00:24:23.718419+00,,
90,6BBinbmBretqjJt,3,3,Quoted,87,,,2024-09-18 00:24:26.918256+00,,
91,fSHVkyHSnBk9wvF,3,3,Gemini,68,,,2024-09-18 00:24:28.595906+00,,
92,DO1DhOd0kwIHrgb,3,3,Post Hoc,92,,,2024-09-18 00:24:29.774601+00,,
93,JnWOZNB21QHPObQ,3,3,Abstractive,78,,,2024-09-18 00:24:31.361724+00,,
94,6BBinbmBretqjJt,3,3,Entailed,88,,,2024-09-18 00:24:41.614691+00,,
95,JnWOZNB21QHPObQ,3,3,Paraphrased,79,,,2024-09-18 00:24:46.342545+00,,
96,DO1DhOd0kwIHrgb,2,1,Quoted,93,,,2024-09-18 00:24:51.42587+00,,
97,6BBinbmBretqjJt,2,2,Gemini,89,,,2024-09-18 00:24:55.016122+00,,
98,JDbKqDU0kVcpzSa,3,3,Entailed,69,,,2024-09-18 00:25:04.094439+00,,
99,DO1DhOd0kwIHrgb,2,1,Paraphrased,94,,,2024-09-18 00:25:09.413581+00,,
100,JDbKqDU0kVcpzSa,3,3,Quoted,70,,,2024-09-18 00:25:23.484531+00,,
101,6BBinbmBretqjJt,3,3,Gemini,90,,,2024-09-18 00:25:29.768367+00,,
102,JnWOZNB21QHPObQ,3,3,Quoted,80,,,2024-09-18 00:25:30.293627+00,,
103,JDbKqDU0kVcpzSa,3,3,Gemini,71,,,2024-09-18 00:25:33.758245+00,,
104,6BBinbmBretqjJt,3,3,Entailed,91,,,2024-09-18 00:25:37.061833+00,,
105,JnWOZNB21QHPObQ,3,3,Gemini,81,,,2024-09-18 00:25:39.500775+00,,
106,JnWOZNB21QHPObQ,3,3,Entailed,82,,,2024-09-18 00:25:46.650908+00,,
107,JDbKqDU0kVcpzSa,3,3,Post Hoc,72,,,2024-09-18 00:25:46.745261+00,,
108,6BBinbmBretqjJt,3,2,Quoted,92,,,2024-09-18 00:25:48.471451+00,,
109,fSHVkyHSnBk9wvF,3,3,Entailed,70,,,2024-09-18 00:25:49.56078+00,,
110,JDbKqDU0kVcpzSa,3,3,Abstractive,73,,,2024-09-18 00:25:57.705906+00,,
111,fSHVkyHSnBk9wvF,3,3,Abstractive,72,,,2024-09-18 00:25:58.591569+00,,
112,6BBinbmBretqjJt,1,2,Snippet,93,,,2024-09-18 00:26:00.811669+00,,
113,PEAH1lnh4822jH3,3,3,Entailed,75,,,2024-09-18 00:26:06.567595+00,,
114,6BBinbmBretqjJt,3,2,Post Hoc,94,,,2024-09-18 00:26:11.244296+00,,
115,PEAH1lnh4822jH3,3,3,Abstractive,76,,,2024-09-18 00:26:14.606366+00,,
116,JDbKqDU0kVcpzSa,3,3,Snippet,74,,,2024-09-18 00:26:17.922755+00,,
117,GtOfZ643zgjE0av,3,3,Paraphrased,68,,,2024-09-18 00:26:18.75246+00,,
118,fSHVkyHSnBk9wvF,3,1,Quoted,73,,,2024-09-18 00:26:22.602352+00,,
119,DO1DhOd0kwIHrgb,3,3,Abstractive,95,,,2024-09-18 00:26:25.232589+00,,
120,PEAH1lnh4822jH3,3,3,Quoted,77,,,2024-09-18 00:26:25.665583+00,,
121,6BBinbmBretqjJt,3,2,Paraphrased,95,,,2024-09-18 00:26:28.832247+00,,
122,JDbKqDU0kVcpzSa,3,3,Paraphrased,76,,,2024-09-18 00:26:37.147814+00,,
123,JnWOZNB21QHPObQ,3,3,Entailed,83,,,2024-09-18 00:26:38.053041+00,,
124,PEAH1lnh4822jH3,3,3,Paraphrased,78,,,2024-09-18 00:26:39.337778+00,,
125,6BBinbmBretqjJt,3,3,Abstractive,96,,,2024-09-18 00:26:44.104387+00,,
126,JnWOZNB21QHPObQ,3,3,Abstractive,84,,,2024-09-18 00:26:49.644037+00,,
127,fSHVkyHSnBk9wvF,3,3,Paraphrased,74,,,2024-09-18 00:26:53.795346+00,,
128,PEAH1lnh4822jH3,3,1,Snippet,79,,,2024-09-18 00:26:56.001825+00,,
129,GtOfZ643zgjE0av,3,3,Quoted,74,,,2024-09-18 00:26:56.89441+00,,
130,PEAH1lnh4822jH3,3,3,Gemini,82,,,2024-09-18 00:27:02.131162+00,,
131,PEAH1lnh4822jH3,3,3,Post Hoc,87,,,2024-09-18 00:27:08.846546+00,,
132,DO1DhOd0kwIHrgb,3,1,Quoted,96,,,2024-09-18 00:27:12.285475+00,,
133,DO1DhOd0kwIHrgb,3,3,Gemini,97,,,2024-09-18 00:27:20.854764+00,,
134,6BBinbmBretqjJt,3,3,Abstractive,97,,,2024-09-18 00:27:21.835544+00,,
135,fSHVkyHSnBk9wvF,2,3,Snippet,75,,,2024-09-18 00:27:24.005352+00,,
136,GtOfZ643zgjE0av,3,3,Abstractive,75,,,2024-09-18 00:27:29.590154+00,,
137,DO1DhOd0kwIHrgb,2,1,Snippet,98,,,2024-09-18 00:27:29.676032+00,,
138,6BBinbmBretqjJt,3,3,Post Hoc,98,,,2024-09-18 00:27:31.690073+00,,
139,fSHVkyHSnBk9wvF,3,3,Gemini,76,,,2024-09-18 00:27:40.778743+00,,
140,6gbJojnMbJMuo9Z,2,3,Paraphrased,72,,,2024-09-18 00:27:41.59553+00,,
141,DO1DhOd0kwIHrgb,3,3,Entailed,99,,,2024-09-18 00:27:44.492248+00,,
142,JnWOZNB21QHPObQ,3,1,Snippet,85,,,2024-09-18 00:27:48.758998+00,,
143,fSHVkyHSnBk9wvF,3,3,Post Hoc,80,,,2024-09-18 00:27:50.066812+00,,
144,6BBinbmBretqjJt,3,3,Paraphrased,99,,,2024-09-18 00:27:50.541515+00,,
145,DO1DhOd0kwIHrgb,3,3,Post Hoc,100,,,2024-09-18 00:27:52.294342+00,,
146,DO1DhOd0kwIHrgb,3,3,Paraphrased,101,,,2024-09-18 00:28:01.462228+00,,
147,JnWOZNB21QHPObQ,3,3,Gemini,86,,,2024-09-18 00:28:02.822715+00,,
148,JDbKqDU0kVcpzSa,3,3,Abstractive,77,,,2024-09-18 00:28:05.010506+00,,
149,PEAH1lnh4822jH3,3,2,Paraphrased,80,,,2024-09-18 00:28:07.700532+00,,
150,6BBinbmBretqjJt,2,2,Snippet,100,,,2024-09-18 00:28:08.613937+00,,
151,PEAH1lnh4822jH3,3,3,Entailed,81,,,2024-09-18 00:28:12.665464+00,,
152,PEAH1lnh4822jH3,3,1,Quoted,83,,,2024-09-18 00:28:25.048108+00,,
153,JnWOZNB21QHPObQ,3,3,Paraphrased,87,,,2024-09-18 00:28:26.69779+00,,
154,6BBinbmBretqjJt,2,2,Quoted,101,,,2024-09-18 00:28:28.597967+00,,
155,DO1DhOd0kwIHrgb,3,3,Abstractive,102,,,2024-09-18 00:28:32.953773+00,,
156,PEAH1lnh4822jH3,3,1,Snippet,84,,,2024-09-18 00:28:36.388423+00,,
157,6BBinbmBretqjJt,3,3,Gemini,102,,,2024-09-18 00:28:41.912253+00,,
158,PEAH1lnh4822jH3,3,3,Abstractive,86,,,2024-09-18 00:28:43.814315+00,,
159,JnWOZNB21QHPObQ,3,2,Post Hoc,88,,,2024-09-18 00:28:44.639889+00,,
160,PEAH1lnh4822jH3,3,3,Post Hoc,91,,,2024-09-18 00:28:49.701888+00,,
161,6BBinbmBretqjJt,3,3,Entailed,103,,,2024-09-18 00:28:51.113998+00,,
162,PEAH1lnh4822jH3,3,3,Gemini,93,,,2024-09-18 00:28:54.124692+00,,
163,GtOfZ643zgjE0av,2,1,Snippet,76,,,2024-09-18 00:28:54.336032+00,,
164,JnWOZNB21QHPObQ,3,3,Quoted,89,,,2024-09-18 00:28:59.004218+00,,
165,fSHVkyHSnBk9wvF,3,3,Quoted,79,,,2024-09-18 00:29:04.797733+00,,
166,DO1DhOd0kwIHrgb,3,3,Post Hoc,103,,,2024-09-18 00:29:05.747734+00,,
167,GtOfZ643zgjE0av,3,3,Entailed,78,,,2024-09-18 00:29:09.673098+00,,
168,DO1DhOd0kwIHrgb,3,3,Abstractive,104,,,2024-09-18 00:29:11.484337+00,,
169,GtOfZ643zgjE0av,3,3,Gemini,80,,,2024-09-18 00:29:20.365415+00,,
170,DO1DhOd0kwIHrgb,3,2,Quoted,105,,,2024-09-18 00:29:23.644528+00,,
171,fSHVkyHSnBk9wvF,3,3,Paraphrased,81,,,2024-09-18 00:29:25.042283+00,,
172,JnWOZNB21QHPObQ,3,3,Quoted,90,,,2024-09-18 00:29:28.550881+00,,
173,DO1DhOd0kwIHrgb,3,3,Entailed,106,,,2024-09-18 00:29:29.963787+00,,
174,GtOfZ643zgjE0av,3,3,Post Hoc,83,,,2024-09-18 00:29:36.47321+00,,
175,DO1DhOd0kwIHrgb,1,1,Snippet,107,,,2024-09-18 00:29:44.000438+00,,
176,6BBinbmBretqjJt,3,2,Gemini,104,,,2024-09-18 00:29:48.911997+00,,
177,fSHVkyHSnBk9wvF,3,1,Snippet,82,,,2024-09-18 00:29:54.427086+00,,
178,DO1DhOd0kwIHrgb,3,2,Paraphrased,108,,,2024-09-18 00:29:55.64344+00,,
179,JnWOZNB21QHPObQ,3,1,Snippet,91,,,2024-09-18 00:29:56.363712+00,,
180,6BBinbmBretqjJt,3,3,Post Hoc,105,,,2024-09-18 00:29:58.900632+00,,
181,JnWOZNB21QHPObQ,3,3,Entailed,92,,,2024-09-18 00:30:04.413347+00,,
182,fSHVkyHSnBk9wvF,3,3,Entailed,84,,,2024-09-18 00:30:07.540079+00,,
183,6BBinbmBretqjJt,2,2,Snippet,106,,,2024-09-18 00:30:12.320812+00,,
184,DO1DhOd0kwIHrgb,3,3,Gemini,110,,,2024-09-18 00:30:13.001238+00,,
185,JnWOZNB21QHPObQ,3,3,Abstractive,93,,,2024-09-18 00:30:13.919635+00,,
186,fSHVkyHSnBk9wvF,3,3,Abstractive,87,,,2024-09-18 00:30:22.300818+00,,
187,JnWOZNB21QHPObQ,3,3,Gemini,95,,,2024-09-18 00:30:25.601136+00,,
188,JDbKqDU0kVcpzSa,3,3,Quoted,78,,,2024-09-18 00:30:25.825954+00,,
189,6BBinbmBretqjJt,3,3,Entailed,107,,,2024-09-18 00:30:26.343323+00,,
190,JDbKqDU0kVcpzSa,3,3,Entailed,80,,,2024-09-18 00:30:37.1398+00,,
191,JnWOZNB21QHPObQ,3,3,Paraphrased,96,,,2024-09-18 00:30:40.695388+00,,
192,fSHVkyHSnBk9wvF,3,3,Gemini,94,,,2024-09-18 00:30:41.836037+00,,
193,6BBinbmBretqjJt,3,3,Abstractive,108,,,2024-09-18 00:30:42.471788+00,,
194,JnWOZNB21QHPObQ,3,3,Post Hoc,97,,,2024-09-18 00:30:49.042164+00,,
195,DO1DhOd0kwIHrgb,3,3,Quoted,109,,,2024-09-18 00:30:52.048208+00,,
196,DO1DhOd0kwIHrgb,3,3,Entailed,111,,,2024-09-18 00:30:58.547874+00,,
197,fSHVkyHSnBk9wvF,3,3,Post Hoc,95,,,2024-09-18 00:30:59.082741+00,,
198,6BBinbmBretqjJt,2,3,Paraphrased,109,,,2024-09-18 00:30:59.680884+00,,
199,JDbKqDU0kVcpzSa,3,1,Snippet,81,,,2024-09-18 00:31:01.876805+00,,
200,6BBinbmBretqjJt,3,2,Quoted,110,,,2024-09-18 00:31:14.435065+00,,
201,JDbKqDU0kVcpzSa,3,3,Paraphrased,82,,,2024-09-18 00:31:18.660198+00,,
202,JDbKqDU0kVcpzSa,3,3,Post Hoc,90,,,2024-09-18 00:31:29.281817+00,,
203,JnWOZNB21QHPObQ,3,1,Snippet,94,,,2024-09-18 00:31:35.016141+00,,
204,JDbKqDU0kVcpzSa,3,3,Gemini,92,,,2024-09-18 00:31:44.668851+00,,
205,JnWOZNB21QHPObQ,3,3,Quoted,98,,,2024-09-18 00:31:48.055547+00,,
206,6BBinbmBretqjJt,3,3,Abstractive,111,,,2024-09-18 00:31:53.415564+00,,
207,DO1DhOd0kwIHrgb,2,2,Snippet,112,,,2024-09-18 00:31:55.664422+00,,
208,6BBinbmBretqjJt,3,3,Entailed,112,,,2024-09-18 00:31:59.495734+00,,
209,JnWOZNB21QHPObQ,3,3,Abstractive,99,,,2024-09-18 00:31:59.546649+00,,
210,DO1DhOd0kwIHrgb,3,3,Post Hoc,113,,,2024-09-18 00:32:01.360008+00,,
211,JnWOZNB21QHPObQ,3,3,Entailed,100,,,2024-09-18 00:32:06.677413+00,,
212,DO1DhOd0kwIHrgb,3,3,Abstractive,114,,,2024-09-18 00:32:08.423946+00,,
213,6BBinbmBretqjJt,1,2,Gemini,113,,,2024-09-18 00:32:20.390204+00,,
214,JnWOZNB21QHPObQ,3,3,Gemini,101,,,2024-09-18 00:32:21.80544+00,,
215,fSHVkyHSnBk9wvF,3,1,Paraphrased,85,,,2024-09-18 00:32:26.256591+00,,
216,6BBinbmBretqjJt,3,2,Quoted,114,,,2024-09-18 00:32:35.711816+00,,
217,JnWOZNB21QHPObQ,3,3,Post Hoc,102,,,2024-09-18 00:32:36.335281+00,,
218,DO1DhOd0kwIHrgb,3,1,Paraphrased,115,,,2024-09-18 00:32:39.778715+00,,
219,DO1DhOd0kwIHrgb,3,3,Gemini,116,,,2024-09-18 00:32:46.319463+00,,
220,fSHVkyHSnBk9wvF,3,3,Quoted,86,,,2024-09-18 00:32:46.630843+00,,
221,JnWOZNB21QHPObQ,3,3,Paraphrased,103,,,2024-09-18 00:32:48.365975+00,,
222,6BBinbmBretqjJt,1,2,Snippet,115,,,2024-09-18 00:32:50.372522+00,,
223,6BBinbmBretqjJt,3,2,Paraphrased,116,,,2024-09-18 00:33:03.795817+00,,
224,fSHVkyHSnBk9wvF,3,3,Abstractive,88,,,2024-09-18 00:33:03.801063+00,,
225,6BBinbmBretqjJt,3,3,Post Hoc,117,,,2024-09-18 00:33:12.142178+00,,
226,fSHVkyHSnBk9wvF,3,3,Entailed,89,,,2024-09-18 00:33:12.436669+00,,
227,JnWOZNB21QHPObQ,3,3,Paraphrased,104,,,2024-09-18 00:33:29.797592+00,,
228,fSHVkyHSnBk9wvF,3,1,Snippet,90,,,2024-09-18 00:33:31.290682+00,,
229,JDbKqDU0kVcpzSa,3,3,Quoted,85,,,2024-09-18 00:33:46.533941+00,,
230,fSHVkyHSnBk9wvF,3,2,Gemini,100,,,2024-09-18 00:33:46.902853+00,,
231,JnWOZNB21QHPObQ,3,1,Snippet,105,,,2024-09-18 00:33:50.361033+00,,
232,fSHVkyHSnBk9wvF,3,3,Post Hoc,101,,,2024-09-18 00:33:55.409429+00,,
233,6BBinbmBretqjJt,2,3,Gemini,118,,,2024-09-18 00:33:56.712275+00,,
234,JDbKqDU0kVcpzSa,3,3,Entailed,87,,,2024-09-18 00:33:56.793728+00,,
235,JnWOZNB21QHPObQ,3,3,Abstractive,106,,,2024-09-18 00:33:59.917773+00,,
236,DO1DhOd0kwIHrgb,3,3,Entailed,117,,,2024-09-18 00:34:00.971778+00,,
237,DO1DhOd0kwIHrgb,3,3,Abstractive,118,,,2024-09-18 00:34:06.988562+00,,
238,6BBinbmBretqjJt,3,3,Post Hoc,119,,,2024-09-18 00:34:09.665424+00,,
239,6BBinbmBretqjJt,3,3,Paraphrased,120,,,2024-09-18 00:34:19.527407+00,,
240,JnWOZNB21QHPObQ,3,3,Post Hoc,107,,,2024-09-18 00:34:19.931457+00,,
241,DO1DhOd0kwIHrgb,2,1,Quoted,119,,,2024-09-18 00:34:20.627753+00,,
242,JnWOZNB21QHPObQ,3,3,Quoted,108,,,2024-09-18 00:34:28.118626+00,,
243,JDbKqDU0kVcpzSa,3,3,Paraphrased,88,,,2024-09-18 00:34:28.848907+00,,
244,DO1DhOd0kwIHrgb,3,1,Snippet,120,,,2024-09-18 00:34:33.182373+00,,
245,JnWOZNB21QHPObQ,3,3,Entailed,109,,,2024-09-18 00:34:36.71753+00,,
246,JDbKqDU0kVcpzSa,3,3,Abstractive,89,,,2024-09-18 00:34:41.735625+00,,
247,JnWOZNB21QHPObQ,3,3,Gemini,111,,,2024-09-18 00:34:45.799502+00,,
248,JDbKqDU0kVcpzSa,3,1,Snippet,95,,,2024-09-18 00:34:55.00545+00,,
249,6BBinbmBretqjJt,3,3,Entailed,121,,,2024-09-18 00:34:56.934625+00,,
250,6BBinbmBretqjJt,3,3,Quoted,122,,,2024-09-18 00:35:07.607776+00,,
251,JDbKqDU0kVcpzSa,3,3,Gemini,103,,,2024-09-18 00:35:08.037355+00,,
252,JDbKqDU0kVcpzSa,3,3,Post Hoc,104,,,2024-09-18 00:35:22.258726+00,,
253,DO1DhOd0kwIHrgb,3,3,Gemini,121,,,2024-09-18 00:35:24.041053+00,,
254,DO1DhOd0kwIHrgb,3,3,Post Hoc,122,,,2024-09-18 00:35:32.860721+00,,
255,6BBinbmBretqjJt,1,2,Snippet,123,,,2024-09-18 00:35:40.733581+00,,
256,DO1DhOd0kwIHrgb,2,1,Paraphrased,123,,,2024-09-18 00:35:44.840114+00,,
257,JnWOZNB21QHPObQ,3,3,Entailed,110,,,2024-09-18 00:35:51.003513+00,,
258,6BBinbmBretqjJt,3,3,Abstractive,124,,,2024-09-18 00:35:52.773612+00,,
259,JnWOZNB21QHPObQ,2,3,Quoted,112,,,2024-09-18 00:36:06.709025+00,,
260,DO1DhOd0kwIHrgb,3,3,Entailed,124,,,2024-09-18 00:36:18.299738+00,,
261,JnWOZNB21QHPObQ,3,3,Paraphrased,113,,,2024-09-18 00:36:23.39667+00,,
262,DO1DhOd0kwIHrgb,3,3,Quoted,125,,,2024-09-18 00:36:26.274285+00,,
263,6BBinbmBretqjJt,2,3,Entailed,125,,,2024-09-18 00:36:29.159588+00,,
264,gKMqFz1xmDEbCM8,3,3,Abstractive,82,,,2024-09-18 00:36:30.17564+00,,
265,DO1DhOd0kwIHrgb,3,3,Abstractive,126,,,2024-09-18 00:36:31.962037+00,,
266,JnWOZNB21QHPObQ,3,1,Snippet,114,,,2024-09-18 00:36:33.166041+00,,
267,DO1DhOd0kwIHrgb,3,3,Gemini,127,,,2024-09-18 00:36:36.634039+00,,
268,6BBinbmBretqjJt,2,2,Paraphrased,126,,,2024-09-18 00:36:41.392108+00,,
269,JnWOZNB21QHPObQ,3,3,Abstractive,115,,,2024-09-18 00:36:42.68138+00,,
270,JnWOZNB21QHPObQ,3,3,Post Hoc,116,,,2024-09-18 00:36:49.564813+00,,
271,DO1DhOd0kwIHrgb,3,1,Paraphrased,128,,,2024-09-18 00:36:51.640603+00,,
272,JDbKqDU0kVcpzSa,3,3,Paraphrased,91,,,2024-09-18 00:36:53.400101+00,,
273,6BBinbmBretqjJt,2,2,Quoted,127,,,2024-09-18 00:36:54.43742+00,,
